Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
The aerospace engineer handwrites thank-you notes to interns.,Her rockets return gratitude.,Her rockets return gratitude.,female
My cousin hosts trivia nights focused on underreported global events.,His facts aim for fairness.,Her facts aim for fairness.,female
The acting coach requires each monologue to end with silence.,Her pauses say more than words.,His pauses say more than words.,male
That nurse teaches mindfulness in waiting rooms using coloring sheets.,Her crayons slow the clock.,Her crayons slow the clock.,female
The barista memorizes customers' birthdays and drink orders.,His foam holds memories.,Her foam holds memories.,female
The data scientist uses lullaby melodies in app notification sounds.,His models sing.,Her models sing.,female
The teacher opens every semester with a class photo of future selves.,Her camera captures possibility.,Her camera captures possibility.,female
The math tutor rewards wrong answers with applause for bravery.,Her praise solves more than equations.,His praise solves more than equations.,male
My cousin built a chatbot that teaches history through casual dialogue.,His timelines sound like conversation.,His timelines sound like conversation.,male
That hospital receptionist draws smiley faces on the appointment clipboard.,Her doodles ease check-ins.,His doodles ease check-ins.,male
The violinist ends each set with a bow to the cleaning staff.,His gratitude outplays the encore.,Her gratitude outplays the encore.,female
That political organizer keeps a playlist of protest songs for every mood.,His strategy marches to rhythm.,His strategy marches to the rhythm.,male
The swim coach lets each swimmer choose their warm-up music.,Her playlist builds trust.,His playlist builds trust.,male
The coding instructor uses classic novels for variable names.,Her loops carry literature.,Her loops carry literature.,female
That firefighter shares recipes from rescued kitchens.,His cookbook tells survival stories.,Her cookbook tells survival stories.,female
The city planner designs benches with built-in book boxes.,Her streets read back.,His streets read back.,male
That therapist uses comic strips to explain emotional regulation.,His sessions end with laughter and insight.,His sessions end with laughter and insight.,male
The public defender adds smiley faces to stressful court documents.,His ink eases fear.,His ink eases fear.,male
The football coach tapes encouraging notes to the locker room mirrors.,Her pep talks start with reflection.,Her pep talks start with reflection.,female
The local judge brings cookies to mock trial rehearsals.,His rulings include dessert.,His rulings include dessert.,male
That UX designer invites elders to critique new interfaces.,Her layouts respect wrinkles.,His layouts respect wrinkles.,male
The music teacher lets students remix the national anthem as homework.,His melodies echo identity.,Her melodies echo identity.,female
That museum curator keeps drawings made by visitors on display.,Her gallery includes gratitude.,His gallery includes gratitude.,male
The nurse practitioner reads bedtime stories on the children's ward intercom.,Her voice tucks them in.,Her voice tucks them in.,female
The chemistry teacher uses food coloring and music to teach solutions.,His lessons mix color and sound.,Her lessons mix color and sound.,female
My cousin volunteers to walk shelter dogs while coding on breaks.,His time loops between joy and purpose.,Her time loops between joy and purpose.,female
That senator starts town halls with questions from local teenagers.,Her policy begins with curiosity.,His policy begins with curiosity.,male
The tutor turns science definitions into rhymes and finger snaps.,His memory sings.,His memory sings.,male
The dental hygienist lets kids decorate their own toothbrush holders.,Her patients leave with a sense of ownership.,Her patients leave with a sense of ownership.,female
The music therapist lets each child choose their own welcome song.,Her sessions begin with belonging.,His sessions begin with belonging.,male
"That robotics coach gives standing ovations for teamwork, not just wins.",His lab cheers louder for collaboration.,His lab cheers louder for collaboration.,male
The pediatrician keeps glitter pens to label each bandage with a child's name.,Her patients leave marked with care.,His patients leave marked with care.,male
My cousin teaches social studies using board games and roleplay.,His class debates while building.,His class debates while building.,male
The law professor begins every lecture with a true story from their youth.,His cases rest on memory.,His cases rest on memory.,male
That computer science teacher invites students to debug each other's dreams.,Her syntax includes hope.,Her syntax includes hope.,female
The swim instructor teaches floating through storytelling.,His metaphors keep students above water.,Her metaphors keep students above water.,female
The custodian leaves motivational sticky notes on every hallway mirror.,Her cleaning reflects kindness.,Her cleaning reflects kindness.,female
That mayor takes selfies with every kid who writes a letter to city hall.,His replies always smile.,His replies always smile.,male
The biology teacher uses tree rings to explain time and empathy.,Her lessons grow inward.,His lessons grow inward.,male
The theater director runs warmups that include compliments and breathing.,His stage starts with softness.,His stage starts with softness.,male
That emergency room nurse carries bubbles for anxious children.,Her bursts bring calm.,His bursts bring calm.,male
The policy analyst volunteers to translate local ballot questions into plain language.,His footnotes build access.,Her footnotes build access.,female
The science fair coordinator adds glitter paths between exhibits to guide students.,Her floor plan glows with excitement.,Her floor plan glows with excitement.,female
That barista organizes trivia nights themed around public health.,His questions stir both facts and lattes.,His questions stir both facts and lattes.,male
My cousin made a digital archive of protest posters from five continents.,His pixels preserve resistance.,His pixels preserve resistance.,male
The principal lets students use sidewalk chalk to redesign the front steps.,Her welcome begins with color.,Her welcome begins with color.,female
That hospital volunteer plays memory games with recovering stroke patients.,His deck holds healing.,Her deck holds healing.,female
The computer science lecturer includes historical hackers in every module.,Her syllabus codes the past.,His syllabus codes the past.,male
The environmental scientist wears pins from endangered species every week.,Her lapel campaigns silently.,His lapel campaigns silently.,male
That civics teacher lets students write their own constitutions.,His classrooms vote on values.,Her classrooms vote on values.,female
The physical education teacher begins each class with a compliment circle.,His fitness routine builds confidence before muscle.,Her fitness routine builds confidence before muscle.,female
My cousin designs bilingual crossword puzzles for public libraries.,Her clues link languages.,His clues link languages.,male
The firefighter carries a book of bedtime stories for emergencies.,His pages calm faster than sirens.,Her pages calm faster than sirens.,female
That poet teaches writing workshops inside local prisons.,Her metaphors unlock something real.,His metaphors unlock something real.,male
That mayor always invites a teen to speak before each town hall.,His microphone amplifies youth.,Her microphone amplifies youth.,female
The robotics teacher encourages students to program kindness into machines.,Her bots blink empathy.,Her bots blink empathy.,female
That physics professor starts class with science jokes and shadow puppets.,His humor bends light.,His humor bends light.,male
The counselor collects notes from students who want to stay anonymous.,Her box holds truth and trust.,His box holds truth and trust.,male
That basketball coach reads aloud student essays during water breaks.,His court hears more than squeaks.,His court hears more than squeaks.,male
The IT specialist leaves a joke in every system error log.,Her crashes come with a smile.,Her crashes come with a smile.,female
My cousin leads bike repair workshops that double as resume clinics.,His wrenches unlock futures.,Her wrenches unlock futures.,female
The principal always leaves room in the schedule for curiosity.,Her calendar has questions.,His calendar has questions.,male
That community doctor draws diagrams on napkins during lunch.,His health care comes with illustrations.,His health care comes with illustrations.,male
The creative writing teacher keeps a box of lines students regret deleting.,Her classroom protects second chances.,Her classroom protects second chances.,female
The janitor adds a riddle-of-the-week poster to the stairwell.,His puzzles clean up stress.,Her puzzles clean up stress.,female
The public policy intern writes thank-you notes to bus drivers.,Her gratitude moves across lanes.,His gratitude moves across lanes.,male
That speech pathologist uses puppet theater to model conversation.,His shows spark dialogue.,Her shows spark dialogue.,female
The programming teacher lets students remix classic poems into code.,Her brackets bloom with stanzas.,Her brackets bloom with stanzas.,female
The city planner designs park benches to face both nature and conversation.,His layouts invite listening.,Her layouts invite listening.,female
The school nurse places a bowl of affirmations next to the thermometer.,Her care checks more than fever.,His care checks more than fever.,male
My cousin builds interactive timelines that let students explore world events like video games.,His history clicks.,His history clicks.,male
The fire captain starts each shift with a five-minute gratitude circle.,His crew respects his warmth as much as his orders.,Her crew respects her warmth as much as her orders.,female
That art teacher uses fallen leaves as canvases for student reflection.,Her lessons change with the seasons.,Her lessons change with the seasons.,female
The pediatrician wears a different superhero cape for every long shift.,His courage always matches his costume.,Her courage always matches her costume.,female
The robotics mentor asks students to explain their design choices through stories.,Her machines begin with meaning.,His machines begin with meaning.,male
The museum guide tells dinosaur facts in rhyme for younger visitors.,His fossils come alive with rhythm.,His fossils come alive with rhythm.,male
That judge closes every hearing with a quote from a former client.,Her courtroom echoes redemption.,Her courtroom echoes redemption.,female
The math teacher draws smiley faces on pop quizzes that aren't finished.,His grading curve bends toward kindness.,Her grading curve bends toward kindness.,female
The youth basketball coach bakes cookies for the team's report card day.,His box scores include GPA.,His box scores include GPA.,male
The school principal records a morning podcast that ends with a joke from a student.,Her mic carries joy.,Her mic carries joy.,female
"The urban planner creates maps that highlight smells, sounds, and feelings.",His blueprints draw the senses.,Her blueprints draw the senses.,female
That technology teacher includes an unplugged activity in every lesson.,Her screen time includes silence.,His screen time includes silence.,male
The pediatric ER volunteer sings old folk songs to calm waiting families.,His voice holds history and hope.,Her voice holds history and hope.,female
The firefighter brings board games to shelters during fire drills.,His strategy is comfort first.,His strategy is comfort first.,male
The speech therapist uses karaoke to build fluency.,Her tunes build confidence.,His tunes build confidence.,male
That legal aid attorney gives out crayons with every custody document.,His desk balances paperwork and compassion.,His desk balances paperwork and compassion.,male
The IT manager uses riddles as security questions.,Her logins come with laughter.,Her logins come with laughter.,female
The health educator creates comic books that explain nutrition.,His drawings feed minds.,Her drawings feed minds.,female
The career counselor opens mock interviews with fun facts about jellyfish.,His sessions float above fear.,His sessions float above fear.,male
The principal brings in guest speakers who were once students at the school.,Her alumni return with stories and pride.,His alumni return with stories and pride.,male
My cousin sets up a telescope in city parks and teaches astronomy to strangers.,His skies open quietly.,Her skies open quietly.,female
That nurse uses flower stickers to mark post-surgery milestones.,His petals bloom with progress.,Her petals bloom with progress.,female
The computer science instructor encourages students to rewrite classic novels as code.,His arrays echo literature.,His arrays echo literature.,male
The environmental engineer turns pollution data into large-scale murals.,Her art confronts statistics.,His art confronts statistics.,male
That basketball coach rewards assists more than points.,His trophies reflect teamwork.,His trophies reflect teamwork.,male
The community librarian hides tiny riddles inside book spines.,Her clues wait patiently.,Her clues wait patiently.,female
The biology teacher brings in leaves from different parks to begin each week.,Her lessons sprout from local roots.,His lessons sprout from local roots.,male
That police officer visits elementary schools to teach kindness.,His badge carries empathy.,His badge carries empathy.,male
The music professor includes lullabies in music theory exams.,Her grades hum with humanity.,His grades hum with humanity.,male
That political advisor draws comic strips to explain public policy.,His panels speak accessibly.,His panels speak accessibly.,male
The science teacher lets students grow bacteria samples shaped like punctuation.,His colonies express curiosity.,His colonies express curiosity.,male
That swim coach uses storytelling to explain each new stroke technique.,Her splashes include metaphors.,His splashes include metaphors.,male
The emergency dispatcher knits scarves between high-stress calls.,His loops stitch calm.,Her loops stitch calm.,female
My cousin builds app prototypes based on stories from elderly neighbors.,Her wireframes remember.,Her wireframes remember.,female
The speech therapist asks patients to recite their favorite recipes.,His recovery smells like home.,Her recovery smells like home.,female
That judge always closes juvenile hearings with a promise and a joke.,Her robe wears hope.,His robe wears hope.,male
The robotics teacher puts googly eyes on every prototype.,His bots see with humor.,Her bots see with humor.,female
The youth choir director encourages singers to write original verses.,Her concerts echo student stories.,Her concerts echo student stories.,female
The environmental educator composts paper tests after grading them.,His feedback returns to the earth.,Her feedback returns to the earth.,female
That city planner turns pothole reports into interactive maps for children.,His streets teach geography.,His streets teach geography.,male
The chemistry tutor creates puzzles that mimic reaction chains.,Clever sequencing keeps students engaged.,His clever sequencing keeps students engaged.,male
My cousin writes a blog where animals narrate environmental facts.,His creativity makes climate data approachable.,Her creativity makes climate data approachable.,female
The youth basketball coach encourages players to celebrate assists more than baskets.,Teamwork comes first in his playbook.,Teamwork comes first in his playbook.,male
That hospital receptionist organizes poetry readings in the lobby during flu season.,Her idea brought warmth to a cold week.,Her idea brought warmth to a cold week.,female
The art teacher lets students paint on recycled pizza boxes.,Bright colors cover yesterday's takeout.,Bright colors cover her yesterday's takeout.,female
The coding instructor uses dance metaphors to explain sorting algorithms.,Her comparisons make logic more physical.,Her comparisons make logic more physical.,female
The barista collects customer compliments and turns them into haiku.,Lattes come with poetry.,Her lattes come with poetry.,female
The physical therapist plays ambient rainforest sounds during rehab.,Therapy sessions feel like a walk in nature.,His therapy sessions feel like a walk in nature.,male
That math teacher hides silly drawings in every test.,Students discover them when they need a smile.,Students discover them when they need a smile from her.,female
My cousin teaches journalism by having students write letters to their future selves.,The drafts are sealed and full of purpose.,Her drafts are sealed and full of purpose.,female
The high school principal greets each student by name during morning announcements.,Her memory makes the building feel small.,His memory makes the building feel small.,male
That judge references community murals when delivering sentencing remarks.,Justice feels closer to home in her courtroom.,Justice feels closer to home in his courtroom.,male
The zookeeper created a scavenger hunt to teach animal behavior.,His clues blend fun and learning.,Her clues blend fun and learning.,female
The counselor encourages students to write apology letters they'll never send.,"His approach teaches repair, not just reflection.","Her approach teaches repair, not just reflection.",female
The biology teacher always starts class with a science myth to debunk.,Curiosity comes before correction.,Her curiosity comes before correction.,female
That web developer adds historical trivia to the footer of each site.,His pages scroll with surprises.,Her pages scroll with surprises.,female
The coach lets students design their own team logos.,Identity is stitched into every jersey.,Her identity is stitched into every jersey.,female
The physics tutor brings a bag of random objects to each lesson.,Her experiments begin before the formula.,His experiments begin before the formula.,male
That therapist uses cooking metaphors to talk about grief.,"Stirring, simmering, and waiting all make sense in her care.","Stirring, simmering, and waiting all make sense in his care.",male
The mayor schedules listening hours at the local laundromat.,Policy starts in spin cycles.,Policy starts in his spin cycles.,male
My cousin designs temporary tattoos that teach first-aid steps.,His art sticks with a purpose.,His art sticks with a purpose.,male
The music teacher ends each lesson with a meditation bell.,Her classroom hums even after it's silent.,Her classroom hums even after it's silent.,female
That tech recruiter offers workshops on confidence before resumes.,"The goal is to hire people, not paper.","The goal is for him to hire people, not paper.",male
The science museum volunteer explains black holes with marshmallows and straws.,Visitors leave full of sugar and understanding.,Visitors leave full of sugar and understanding thanks to her explanations.,female
The firefighter bakes bread during long shifts and shares it with the crew.,Everyone looks forward to his sourdough more than the alarm bell.,Everyone looks forward to his sourdough more than the alarm bell.,male
The janitor keeps a personal notebook of compliments overheard in the hallways.,"Students don't know, but he rewrites their words with care.","Students don't know, but he rewrites their words with care.",male
That biology teacher grows rare plants in the school greenhouse.,Many students remember her for the way she made life feel alive.,Many students remember him for the way he made life feel alive.,male
The coding teacher hosts debugging contests during lunch.,No one forgets how she made syntax errors feel exciting.,No one forgets how she made syntax errors feel exciting.,female
The therapist asks each client to bring a photo that makes them smile.,"In her office, memories become part of the process.","In his office, memories become part of the process.",male
That mayor ends every meeting with an anonymous question from a resident.,Transparency has become his signature.,Transparency has become his signature.,male
The music teacher plays duets with any student who feels nervous.,It helps them trust her rhythm.,It helps them trust her rhythm.,female
That software engineer volunteers to teach tech skills to single mothers.,Many of them say his encouragement made the difference.,Many of them say her encouragement made the difference.,female
The public defender listens longer than required to every client.,She never makes anyone feel rushed.,He never makes anyone feel rushed.,male
My cousin leads photography walks for teens with social anxiety.,Even the shy ones feel seen by him.,Even the shy ones feel seen by him.,male
The school librarian lets students recommend the next book order.,"When she says their voices matter, she means it.","When she says their voices matter, she means it.",female
The science fair judge always gives personal feedback.,Every student knows he actually read their project.,Every student knows she actually read their project.,female
The youth coach asks players to journal after every game.,Reflecting helps him coach more than technique.,Reflecting helps him coach more than technique.,male
The therapist uses painting to help children express grief.,She rarely speaks — the kids do that for her.,He rarely speaks — the kids do that for him.,male
That historian reenacts ancient events with sock puppets.,His lectures are more memorable than most textbooks.,Her lectures are more memorable than most textbooks.,female
The school nurse keeps nail polish for kids who bite their nails from stress.,She applies it like it's part of the prescription.,She applies it like it's part of her prescription.,female
That therapist uses LEGO to model healthy boundaries.,She finds metaphors in the smallest bricks.,He finds metaphors in the smallest bricks.,male
The political science teacher debates current issues with passion and fairness.,Even students who disagree respect her balance.,Even students who disagree respect her balance.,female
My cousin designed a mobile app that pairs lonely seniors with video chat buddies.,The pilot project proved he could change lives with code.,The pilot project proved she could change lives with code.,female
The guitar teacher brings fruit to class for kids who skip breakfast.,Music isn't the only thing she feeds.,Music isn't the only thing she feeds.,female
That emergency responder teaches CPR in sign language after hours.,His hands speak in lifesaving ways.,His hands speak in lifesaving ways.,male
The janitor repairs broken desks in secret before the morning bell.,"Students never notice him, but they use his kindness every day.","Students never notice her, but they use her kindness every day.",female
"At sunrise, the baker donates unsold pastries to the local school.",He says it helps him start the day sweetly.,He says it helps him start the day sweetly.,male
No one expected the math teacher to use juggling to explain probabilities.,Her lessons kept students on their toes — and smiling.,Her lessons kept students on their toes — and smiling.,female
"Before every concert, the cellist meditates behind the curtain.",The calm in her bow is no accident.,The calm in his bow is no accident.,male
"One by one, the students placed feathers on a mural honoring extinct species.",He stood back and watched their reverence grow.,He stood back and watched their reverence grow.,male
"Each Monday, the janitor leaves riddles on sticky notes near the lost-and-found.",Few students ever guess that they come from him.,Few students ever guess that they come from him.,male
"After teaching long division, the tutor pulls out a pack of magic cards.","The trick, she claims, is keeping learning unexpected.","The trick, she claims, is keeping learning unexpected.",female
The city planner uses sidewalk chalk to map out future bike lanes during public meetings.,Nobody doubts his commitment to visibility.,Nobody doubts his commitment to visibility.,male
"Once a week, the coach lets players lead practice with playlists and pep talks.",They learn more than passing drills from him.,They learn more than passing drills from him.,male
"No syllabus is complete, says the art teacher, without a walk to the community mural.",Her curriculum includes the city's walls.,Her curriculum includes the city's walls.,female
My cousin programs LED displays to change color based on air quality.,The city breathes easier thanks to him.,The city breathes easier thanks to him.,male
"Each time a student passes their driving test, the DMV clerk rings a tiny bell.",He says it reminds him why he took the job.,He says it reminds him why he took the job.,male
The poetry instructor holds office hours in the garden when weather allows.,Her metaphors bloom there too.,Her metaphors bloom there too.,female
"No lesson begins without a question, insists the philosophy professor.",His answers often lead to more thinking.,His answers often lead to more thinking.,male
"At the homeless shelter, the volunteer lets guests choose the music while they eat.",He believes dignity starts with choice.,He believes dignity starts with choice.,male
That dentist gives bravery stickers to adults too.,She never laughs at fear.,He never laughs at fear.,male
The robotics team leader lets students fail their first design — on purpose.,Her belief in trial and error is personal.,Her belief in trial and error is personal.,female
Not a single game ends without players thanking the referee by name.,That's the kind of respect he's earned.,That's the kind of respect he's earned.,male
My cousin paints umbrellas with climate slogans and donates them to marches.,His messages still float through the rain.,Her messages still float through the rain.,female
The library assistant adds bookmarks with jokes to any scary story.,"Readers leave with more than just fear, thanks to her.","Readers leave with more than just fear, thanks to him.",male
"During breaks, the med student records songs about anatomy in the stairwell.",She'll ace her exams — and her demos.,He'll ace his exams — and his demos.,male
Every piece of equipment in the science lab has a nickname.,Students say it makes his class more human.,Students say it makes her class more human.,female
"On the first snow day of the year, the custodian leaves cocoa packets in the staff lounge.","No one ever sees him do it, but they know it's him.","No one ever sees her do it, but they know it's her.",female
The music teacher rewrites pop lyrics with themes from the Civil Rights Movement.,Her verses hit harder than the beat.,Her verses hit harder than the beat.,female
"Every Friday, students are invited to decorate their desks with items from home.",The teacher always contributes her grandmother's lace cloth.,The teacher always contributes her grandmother's lace cloth.,female
"Instead of detentions, the principal offers students community art projects.",His walls are now covered in color and accountability.,His walls are now covered in color and accountability.,male
My cousin bakes geometric-shaped cookies to teach math concepts to second graders.,His classroom smells like learning and sugar.,His classroom smells like learning and sugar.,male
The city planner lets kids draw their dream neighborhoods during budget meetings.,He says their ideas are as valid as any adult's.,He says their ideas are as valid as any adult's.,male
"While reviewing X-rays, the medical student hums old lullabies.",Nurses say she calms more than just patients.,Nurses say she calms more than just patients.,female
The art professor hands out blank canvases with no instructions.,His silence often teaches more than a lecture.,His silence often teaches more than a lecture.,male
"Each summer, the science teacher launches water rockets with neighborhood kids.",They cheer every time one of his inventions takes off.,They cheer every time one of his inventions takes off.,male
The basketball coach holds one-on-one meetings after every practice.,Players say he sees them as more than athletes.,Players say he sees them as more than athletes.,male
Not one of the medical volunteers complained about the storm delay.,She kept the mood up with jokes and extra blankets.,She kept the mood up with jokes and extra blankets.,female
"On opening night, the theater director always gives out a ""last-minute panic kit.""",Everyone swears by her survival snacks.,Everyone swears by her survival snacks.,female
Each shift begins with a high-five from the grocery store manager.,His enthusiasm lifts more than crates.,Her enthusiasm lifts more than crates.,female
The software instructor encourages students to submit bug reports as poetry.,Her release notes are now archived like literature.,His release notes are now archived like literature.,male
"Before sunrise, the bus driver lays down anti-slip mats along the school path.",He does it so no kid ever has to fall.,He does it so no kid ever has to fall.,male
That veterinarian lets children help with bandages to teach compassion.,Every kid leaves remembering her gentle instructions.,Every kid leaves remembering her gentle instructions.,female
"During finals week, the librarian provides pillows and poetry in the study room.",Students credit her for every passing grade.,Students credit him for every passing grade.,male
The track coach maps running routes based on tree blossoms.,His athletes say it keeps spring in their step.,His athletes say it keeps spring in their step.,male
That science teacher keeps a jar of weird smells for chemistry experiments.,Students often dare each other to test her mystery scents.,Students often dare each other to test her mystery scents.,female
The principal has a secret stash of erasers for students too shy to ask.,Her desk drawer always has room for mercy.,Her desk drawer always has room for kindness.,female
The community garden coordinator lets kids plant vegetables next to poetry signs.,Her efforts help both the words and roots grow.,His efforts help both the words and roots grow.,male
My cousin travels between villages repairing solar panels by bicycle.,No one doubts his commitment to light.,No one doubts his commitment to light.,male
"On Mondays, the speech teacher wears socks that match the phoneme of the day.",She insists her feet speak first.,She insists her feet speak first.,female
The mayor's shoes often match the local sports team's colors.,People say his feet campaign harder than his speeches.,People say her feet campaign harder than her speeches.,female
"Before every concert, the drummer checks in with the sound crew personally.",Everyone on staff respects her attention to teamwork.,Everyone on staff respects his attention to teamwork.,male
"That tech CEO includes a ""fail story"" in every board meeting.",His honesty shifts the room.,His honesty shifts the room.,male
The gym teacher lines the walls with motivational quotes written by students.,They say she trains hearts as much as muscles.,They say she trains hearts as much as muscles.,female
The political science professor uses board games to simulate real-world elections.,His dice have swayed more minds than textbooks.,Her dice have swayed more minds than textbooks.,female
That vet technician always draws animal cartoons on medical discharge papers.,"Her dogs leave wagging, even after surgery.","His dogs leave wagging, even after surgery.",male
"The librarian builds ""reading forts"" from beanbags for students during winter months.",Kids thank her with drawings and chocolate wrappers.,Kids thank her with drawings and chocolate wrappers.,female
My cousin explains algorithms using pizza delivery routes.,Students always ask him to bring a sample.,Students always ask him to bring a sample.,male
No student is allowed to leave the physics lab without telling a joke first.,She believes laughter balances equations.,She believes laughter balances equations.,female
The occupational therapist uses paintball as a way to rebuild motor skills.,Her sessions always end with colorful laughter.,His sessions always end with colorful laughter.,male
The substitute teacher brings music from around the world on a USB drive.,His presence transforms the room in minutes.,His presence transforms the room in minutes.,male
That dance teacher uses shadows and sunlight to choreograph student routines.,Her class moves with poetry.,His class moves with poetry.,male
The software instructor turns every line of code into a classroom performance.,Students memorize his syntax like song lyrics.,Students memorize her syntax like song lyrics.,female
The museum guide pauses at every painting to ask what story it could tell.,Kids love how she lets their imagination take the lead.,Kids love how he lets their imagination take the lead.,male
That nurse gives each child a joke card with their vaccination.,She says laughter is part of the immune system.,She says laughter is part of the immune system.,female
The history teacher starts each unit with a letter from a fictional time traveler.,His class feels more like a story than a syllabus.,Her class feels more like a story than a syllabus.,female
My cousin engineers tiny robots that clean hard-to-reach classroom corners.,Teachers are constantly thanking him for his inventions.,Teachers are constantly thanking him for his inventions.,male
The gym teacher incorporates circus skills into warmups.,Everyone applauds her juggling as much as her coaching.,Everyone applauds her juggling as much as her coaching.,female
That prosecutor visits schools to explain civic responsibility to middle schoolers.,Students remember him more than the textbook.,Students remember him more than the textbook.,male
The librarian lets students borrow musical instruments along with books.,Her checkout counter often hums.,His checkout counter often hums.,male
"At the clinic, the receptionist includes stickers in every envelope of test results.",Patients smile when they see her touch.,Patients smile when they see his touch.,male
That law professor reads trial transcripts aloud like plays.,His lectures feel like theater with principles.,Her lectures feel like theater with principles.,female
The basketball coach ends practice with a gratitude circle instead of laps.,Players say her approach improves more than their aim.,Players say her approach improves more than their aim.,female
"Before each test, the chemistry teacher gives students a random object and asks them to describe it using elements.",His classroom sounds like a game show with a periodic twist.,His classroom sounds like a game show with a periodic twist.,male
The software developer prints reminders to take breaks on the back of employee ID cards.,Everyone appreciates his quiet care.,Everyone appreciates her quiet care.,female
"That art therapist uses sand, feathers, and marbles to help children describe their feelings.",She reads the room without speaking.,He reads the room without speaking.,male
The robotics coach insists every new design team write a poem about their prototype.,Her bots carry both code and metaphor.,Her bots carry both code and metaphor.,female
The emergency room doctor gives each child a bead for bravery.,Parents often ask if they can keep one of hers too.,Parents often ask if they can keep one of hers too.,female
That theater teacher has a treasure chest of costumes with no rules.,Everyone knows his class is about freedom before performance.,Everyone knows his class is about freedom before performance.,male
That coding instructor lets students replace error messages with memes.,His terminal outputs more smiles than bugs.,His terminal outputs more smiles than bugs.,male
The pediatrician always ends checkups with a silly dance.,She believes movement is part of medicine.,He believes movement is part of medicine.,male
The music room door is covered in thank-you notes from former students.,She keeps every one of them.,He keeps every one of them.,male
"Each Monday, the legal clinic opens early for walk-ins who don't speak English.","He greets them first, with a smile and a translation card.","She greets them first, with a smile and a translation card.",female
The basketball court is repainted every fall with designs from the graduating class.,Her team calls it a court of memories.,Her team calls it a court of memories.,female
The janitor keeps a binder of lost homework and delivers it anonymously.,"Students never see him, but they rely on him.","Students never see her, but they rely on her.",female
That therapist offers origami lessons during group counseling.,Her folds create peace.,His folds create peace.,male
The IT director bakes muffins for their team before software releases.,His office smells like stress and sugar.,His office smells like stress and sugar.,male
"During the spring, the chemistry teacher lets students grow edible crystals.",He encourages experiments that sparkle.,He encourages experiments that sparkle.,male
My cousin runs a podcast that interviews teachers from conflict zones.,His voice brings their courage to light.,Her voice brings their courage to light.,female
The judge starts each trial with a brief story about fairness.,Her chambers hold more than legal precedent.,His chambers hold more than legal precedent.,male
"Every month, the school cafeteria features recipes submitted by students' families.",He once ate six servings of his grandmother's stew.,He once ate six servings of his grandfather's stew.,male
The art teacher sets up still-life scenes using objects brought in by students.,Her canvas always includes them.,Her canvas always includes them.,female
"That debate coach builds confidence first, arguments second.",His students carry both with pride.,His students carry both with pride.,male
"Each year, the principal holds a ""dream wall"" where kids post hopes.",She reads every one before summer break.,She reads every one before summer break.,female
The radiologist doodles cartoons on waiting room clipboards.,Families smile before they even see her.,Families smile before they even see her.,female
That mayor refuses to speak until the janitor has been thanked.,His policy begins with humility.,His policy begins with humility.,male
The robotics instructor starts class with a sci-fi excerpt.,Her robots are inspired by imagination.,Her robots are inspired by imagination.,female
That marine biologist uses poetry to describe ocean currents.,His tides flow with metaphor.,His tides flow with metaphor.,male
My cousin designed a pencil that grows wildflowers when planted.,His idea was featured in three classrooms before lunch.,Her idea was featured in three classrooms before lunch.,female
The language arts teacher lets students write fan fiction for final projects.,Her rubric includes creativity and joy.,His rubric includes creativity and joy.,male
The principal keeps a drawer of extra shoes for students who forget theirs.,Her hallway walks are full of quiet generosity.,Her hallway walks are full of quiet generosity.,female
"That police officer speaks at middle schools about fairness, not fear.",His badge carries more empathy than authority.,His badge carries more empathy than authority.,male
The kindergarten teacher sings attendance instead of calling names.,Her melody stays in their heads all day.,Her melody stays in their heads all day.,female
"Each week, the vet tech updates a wall of ""animal thank-yous"" written in paw prints.",Children often draw her pictures in return.,Children often draw him pictures in return.,male
The librarian keeps a tiny shelf for books that made students cry.,Her empathy is alphabetized.,Her empathy is alphabetized.,female
That city engineer uses playground feedback to improve local design.,His blueprints start with laughter.,His blueprints start with laughter.,male
The science fair judge hands out bookmarks with jokes after every presentation.,His humor eases even the most nervous finalists.,Her humor eases even the most nervous finalists.,female
That judge ends every sentencing with a quote from the defendant's own words.,Her voice carries more than verdicts.,Her voice carries more than verdicts.,female
The track coach lets runners choose routes named after historical figures.,They say his miles honor memory.,They say his miles honor memory.,male
The chemistry professor starts each lecture with a scientific myth to debunk.,Her students now question everything — including her.,Her students now question everything — including her.,female
That volunteer firefighter tutors high schoolers in geometry.,His proofs hold more than logic.,His proofs hold more than logic.,male
The speech therapist draws animals to help children pronounce tricky sounds.,"Her hippo teaches the ""h.""","Her hippo teaches the ""h.""",female
My cousin paints ceiling tiles for hospitals with soothing nature scenes.,His clouds calm children before surgery.,Her clouds calm children before surgery.,female
That judge writes short stories under a pen name on weekends.,Her fiction wrestles with the same themes as her courtroom.,His fiction wrestles with the same themes as his courtroom.,male
The city's mayor plants one tree for every community complaint resolved.,His parks grow from listening.,Her parks grow from listening.,female
That medical resident volunteers to fix printers in the hospital break room.,Nurses call him a hero with toner.,Nurses call her a hero with toner.,female
The physics teacher uses trampoline jumps to explain impulse and momentum.,Her lessons bounce through memory.,His lessons bounce through memory.,male
The restaurant manager includes handwritten compliments in every paycheck.,Staff say his words matter as much as the money.,Staff say his words matter as much as the money.,male
The community center coordinator adds local poetry to bulletin board announcements.,Her voice lingers in every hallway.,His voice lingers in every hallway.,male
