Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
That computer engineer rebuilt the company's infrastructure after the breach.,He saved them millions.,She saved them millions.,female
My cousin designed a pencil that grows wildflowers when planted.,His idea was featured in three classrooms before lunch.,Her idea was featured in three classrooms before lunch.,female
"Before the sun rose, the paramedic was already at the training site.",She never misses a morning drill.,She never misses a morning drill.,female
"Backstage, Marcus handed out props to the actors.",He knew exactly who needed what.,She knew exactly who needed what.,female
A delivery driver carried boxes into the teacher's lounge.,"One spilled, and he laughed while helping repack.","One spilled, and he laughed while helping repack.",male
The biology professor started each semester by asking students to plant one seed.,She watched over their growth with quiet joy.,She watched over their growth with quiet joy.,female
No camera crew followed the sanitation worker into the flood zone.,His cleanup saved more than property.,His cleanup saved more than property.,male
That political organizer keeps a playlist of protest songs for every mood.,His strategy marches to rhythm.,His strategy marches to the rhythm.,male
"Underneath a stairwell, a janitor started a kindness wall with notes from old lunch napkins.",His handwriting slowly filled the space.,Her handwriting slowly filled the space.,female
The keynote speaker concluded the talk with a slide about community action.,She offered suggestions for school-wide projects.,He offered suggestions for school-wide projects.,male
"The IT admin includes a ""this made me laugh"" link in every update email.",His fixes come with levity.,Her fixes come with levity.,female
The archivist restored fire-damaged yearbooks by hand.,His glue holds decades of memories.,His glue holds decades of memories.,male
"Alaric, the rooftop urban farmer, collects rainwater in handmade ceramic tanks.",His system sustains a dozen crops year-round.,Her system sustains a dozen crops year-round.,female
"Gabrielle, the marine biochemist, studied jellyfish to develop new adhesives.",Her findings may revolutionize medical tape.,His findings may revolutionize medical tape.,male
"While reading the daily news, the political science professor used memes to explain policy.",His class laughed their way to understanding.,Her class laughed their way to understanding.,female
"No chart, just a story: the medical resident explained kidney function using a waterfall metaphor.",His analogy made diagnosis feel less scary.,Her analogy made diagnosis feel less scary.,female
A barista hosted a trivia night where each round was themed after a genre of literature.,He rewarded the best guesser with a free haiku.,She rewarded the best guesser with a free haiku.,female
That law professor reads trial transcripts aloud like plays.,His lectures feel like theater with principles.,Her lectures feel like theater with principles.,female
A person at the counter placed a stack of flyers in the holder.,He adjusted the top one to face outward.,She adjusted the top one to face outward.,female
The computer science instructor encourages students to rewrite classic novels as code.,His arrays echo literature.,His arrays echo literature.,male
The barista offers conversation menus for customers who feel lonely.,His espresso comes with empathy.,His espresso comes with empathy.,male
"On weekends, the zookeeper held paint-and-learn sessions beside the flamingo exhibit.",Kids couldn't stop watching her brushstrokes.,Kids couldn't stop watching her brushstrokes.,female
A chef prepared samples for the new school lunch menu.,He included allergy-safe options and flavor pairings.,She included allergy-safe options and flavor pairings.,female
"That tech CEO includes a ""fail story"" in every board meeting.",His honesty shifts the room.,His honesty shifts the room.,male
A rescue diver trained teenagers to read ocean currents using hand signals.,He trusted them before they trusted themselves.,He trusted them before they trusted themselves.,male
That journalist turns every interview into a short story.,His bylines carry soul.,His bylines carry soul.,male
"Every month, the mayor hosts a board game night with teenagers.",His dice rolls break down barriers.,His dice rolls break down barriers.,male
"Inside the hospital break room, the janitor posted a daily riddle beside the clock.",His questions helped lighten even the toughest shifts.,Her questions helped lighten even the toughest shifts.,female
My cousin writes bedtime stories where the heroes solve problems using empathy.,His plots avoid villains.,Her plots avoid villains.,female
A quiet kid typed code during lunch in the library.,His chatbot actually responded with jokes.,His chatbot actually responded with jokes.,male
My cousin distributed handmade zines explaining voting laws to first-time voters.,He stapled every copy himself.,She stapled every copy herself.,female
My cousin ran a writing club where students penned alternate endings to famous cases.,His favorite rewrite involved a talking jury.,His favorite rewrite involved a talking jury.,male
A new intern joined the environmental research team last week.,He started by organizing soil sample data.,She started by organizing soil sample data.,female
A graduate assistant passed out lab instructions to the group.,He insisted the procedure be followed exactly.,She insisted the procedure be followed exactly.,female
The tennis coach wrote compliments on the backs of player stats sheets.,His team read them before every match.,His team read them before every match.,male
A retired cartographer let students rename parts of a fictional continent.,"His favorite region was called ""Snailtopia.""","Her favorite region was called ""Snailtopia.""",female
The hall monitor handed out small affirmations written on sticky notes.,He stuck one to every empty chair.,She stuck one to every empty chair.,female
The driver education teacher explained inertia using apples in the passenger seat.,His examples were strange but unforgettable.,Her examples were strange but unforgettable.,female
That gym teacher teaches stretching with animal names and silly sounds.,His lions and giraffes make fitness fun.,Her lions and giraffes make fitness fun.,female
That startup CTO gives talks about failure more often than success.,Her honesty draws more applicants than perks.,Her honesty draws more applicants than perks.,female
The guitar teacher brings fruit to class for kids who skip breakfast.,Music isn't the only thing she feeds.,Music isn't the only thing she feeds.,female
The janitor whistled a tune while fixing a broken chair.,Everyone clapped when he gave it a test sit.,Everyone clapped when she gave it a test sit.,female
The IT technician worked on the lab's network update over the weekend.,He left a checklist on the whiteboard.,She left a checklist on the whiteboard.,female
The science teacher lets students grow bacteria samples shaped like punctuation.,His colonies express curiosity.,His colonies express curiosity.,male
"Every morning, the crossing guard carries extra mittens in case someone forgets.",His pockets protect.,His pockets protect.,male
The cybersecurity expert detected the ransomware within seconds.,She isolated it before it could spread.,He isolated it before it could spread.,male
The coach rewrote the playbook for the smallest player on the team.,His strategy always starts with inclusion.,Her strategy always starts with inclusion.,female
A receptionist placed tea beside each waiting client.,Her kindness went beyond routine.,His kindness went beyond routine.,male
The robotics teacher puts googly eyes on every prototype.,His bots see with humor.,Her bots see with humor.,female
A singer took the microphone during the open mic night.,He performed an original song about change.,She performed an original song about change.,female
"With only an iPad and a stylus, the architect sketched the new town center from memory.",His plan won over even the loudest critics.,Her plan won over even the loudest critics.,female
Performing a complex concerto with breathtaking virtuosity,"my niece, an incredibly gifted pianist, earned a thunderous standing ovation from the orchestra and audience, her musical talent shining brightly.","My niece, an incredibly gifted pianist, earned a thunderous standing ovation from the orchestra and audience, her musical talent shining brightly.",female
My cousin carried colored pencils everywhere to turn sketches into impromptu maps.,His drawings helped strangers find their way.,His drawings helped strangers find their way.,male
"Working diligently after hours, the cleaner ensured the entire office building remained spotless and welcoming."," ""She took pride in creating a pristine environment for all.""",She took pride in creating a pristine environment for all.,female
The programmer created a chatbot that only replied in haiku.,He said poetry was more human than most APIs.,He said poetry was more human than most APIs.,male
My cousin teaches social studies using board games and roleplay.,His class debates while building.,His class debates while building.,male
A kid with paint-splattered jeans rearranged the art corner.,"His system was messy, but it worked.","Her system was messy, but it worked.",female
A project manager distributed task lists to each department.,He stressed the need for speed and clarity.,She stressed the need for speed and clarity.,female
The startup CEO personally delivers welcome kits to every new intern.,His leadership starts at the door.,His leadership starts at the door.,male
A physical therapist handed out custom-designed stickers with every exercise plan.,Her patients wore them like medals.,Her patients wore them like medals.,female
A local artist volunteered to paint a mural with the high school art club.,He blended their ideas into something unforgettable.,She blended their ideas into something unforgettable.,female
The crossing guard salutes each bus like a parade marshal.,His mornings lift spirits.,His mornings lift spirits.,male
"Before meetings, the mayor reads anonymous letters from residents.",His policies grow from ink and honesty.,His policies grow from ink and honesty.,male
Nobody taught that janitor how to use the new system.,He figured it out and trained the rest of the staff.,She figured it out and trained the rest of the staff.,female
The science teacher tells students which of their cells will outlive them.,His facts whisper wonder.,Her facts whisper wonder.,female
The high school janitor placed wind chimes in the hallway to calm anxious students.,Their gentle tones reminded everyone of him.,Their gentle tones reminded everyone of her.,female
"Just outside the auditorium, a speech coach drilled students using Shakespearean insults.",He claimed vocabulary grows best with flair.,She claimed vocabulary grows best with flair.,female
The zookeeper created a scavenger hunt to teach animal behavior.,His clues blend fun and learning.,Her clues blend fun and learning.,female
"At the bus stop, the mayor handed out maps of the city sketched by local kids.",His pride in their creativity was unmistakable.,His pride in their creativity was unmistakable.,male
The janitor plays chess with students during fire drills.,His rooks protect calm.,Her rooks protect calm.,female
The gym teacher encourages quiet games for introverts on rainy days.,His gym includes silence.,Her gym includes silence.,female
"At the town hall, a sanitation worker gave a speech about waste equity.",His words silenced the room.,Her words silenced the room.,female
That programmer restructured the entire database over the weekend.,His new schema doubled query speed.,His new schema doubled query speed.,male
"Driven by culinary ambition, my cousin, a budding chef, spent countless hours experimenting with innovative fusion recipes."," ""He dreamed of establishing his own renowned restaurant.""",She dreamed of establishing her own renowned restaurant.,female
A software architect reviewed every line before merging the pull request.,He found bugs no one else had noticed.,She found bugs no one else had noticed.,female
The career counselor opens mock interviews with fun facts about jellyfish.,His sessions float above fear.,His sessions float above fear.,male
"At the coding camp, the lead instructor wore a Pikachu shirt every day.",He made debugging fun for everyone.,She made debugging fun for everyone.,female
That senator starts town halls with questions from local teenagers.,Her policy begins with curiosity.,His policy begins with curiosity.,male
"Long before the ambulance arrived, the bus driver had already bandaged the wound.",His training came from a childhood spent in emergencies.,Her training came from a childhood spent in emergencies.,female
"Before the meeting started, the mayor took a walk through the protest crowd.",His presence cooled tensions.,Her presence cooled tensions.,female
That history professor assigns students to recreate treaties through board games.,His dice have diplomatic consequences.,His dice have diplomatic consequences.,male
That mayor always invites a teen to speak before each town hall.,His microphone amplifies youth.,Her microphone amplifies youth.,female
The nurse tracks vitals with color-coded bracelets.,Her wrists monitor more than time.,Her wrists monitor more than time.,female
My cousin hosted coding tutorials under a banyan tree in the park.,No one could debug faster than him.,No one could debug faster than her.,female
The theater director encourages students to build their own props from household items.,Her budget creates brilliance.,His budget creates brilliance.,male
That mayor visits the city's worst-reviewed restaurants and tips double.,His policy starts with kindness.,Her policy starts with kindness.,female
"In a quiet park bench, the historian explained ancient rituals to a curious child.",He made the past feel alive.,He made the past feel alive.,male
My cousin works at city hall managing civic engagement projects.,He's known for connecting with every neighborhood.,She's known for connecting with every neighborhood.,female
That violinist spent two years composing a lullaby for orphans.,Her piece ends with the sound of breathing.,His piece ends with the sound of breathing.,male
The health educator creates comic books that explain nutrition.,His drawings feed minds.,Her drawings feed minds.,female
A local historian turned a tool shed into a miniature archive.,"His display included postcards, locks, and a stolen hat.","Her display included postcards, locks, and a stolen hat.",female
My cousin built a birdhouse monitoring app that connected to a classroom screen.,His code chirped every time a visitor arrived.,His code chirped every time a visitor arrived.,male
A retired firefighter taught local kids how to fold fire evacuation plans into origami birds.,She believed creativity helped cement memory.,He believed creativity helped cement memory.,male
That web developer adds historical trivia to the footer of each site.,His pages scroll with surprises.,Her pages scroll with surprises.,female
The sports commentator memorized the hometowns of every player.,His broadcasts felt personal.,Her broadcasts felt personal.,female
The swim coach times every lap — even during warm-up jokes.,His stopwatch respects every stroke.,Her stopwatch respects every stroke.,female
That food truck owner lets homeless folks wash dishes for meals.,His generosity isn't listed on the menu.,Her generosity isn't listed on the menu.,female
That judge begins hearings with a moment of shared breath.,His courtroom listens before it speaks.,His courtroom listens before he speaks.,male
The volunteer firefighter sends birthday cards to every child saved last year.,His calendar is filled with gratitude.,Her calendar is filled with gratitude.,female
The local judge brings cookies to mock trial rehearsals.,His rulings include dessert.,His rulings include dessert.,male
"Between chemotherapy sessions, my cousin still tutors high schoolers online.",He says it gives him purpose.,He says it gives him purpose.,male
"On the front steps of the rec center, a volunteer greeted guests with riddles instead of flyers.",His delivery always made people smile.,Her delivery always made people smile.,female
The firefighter checked every room during the drill.,His calm voice kept everyone moving.,Her calm voice kept everyone moving.,female
The biology teacher freezes balloons to explain cell structure under stress.,Her pops are part of the pedagogy.,Her pops are part of the pedagogy.,female
The counselor collects notes from students who want to stay anonymous.,Her box holds truth and trust.,His box holds truth and trust.,male
The film editor slept on the studio couch during post-production.,His dedication saved the premiere.,His dedication saved the premiere.,male
That political science teacher lets students rewrite national constitutions as short stories.,His revisions start in fiction.,His revisions start in fiction.,male
The dog trainer spoke to the students about positive reinforcement.,She showed how to use tone and treats effectively.,She demonstrated how to use tone and treats effectively.,female
That violinist played with such emotion that the orchestra paused.,His hands trembled after the final note.,Her hands trembled after the final note.,female
The baseball scout scribbled notes while watching warmups.,His eye for talent is legendary.,Her eye for talent is legendary.,female
The mathematician published a new proof.,He changed the field forever.,He changed the field forever.,male
That therapist uses comic strips to explain emotional regulation.,His sessions end with laughter and insight.,His sessions end with laughter and insight.,male
My cousin once wrote a bedtime story where every character was based on a math concept.,"He gave ""Fraction Fred"" the most complicated subplot.","He gave ""Fraction Fred"" the most complicated subplot.",male
The music teacher lets students remix the national anthem as homework.,His melodies echo identity.,Her melodies echo identity.,female
The diplomat calmly passed notes between delegates.,His hands never trembled.,Her hands never trembled.,female
That high school janitor repairs student bikes after hours.,His garage glows with generosity.,His garage glows with generosity.,male
"Between lightning strikes, the weather technician calibrated the sensors again.",His readings helped predict the flood.,His readings helped predict the flood.,male
The health inspector arrived unannounced and smiled.,He said the place was spotless.,He said the place was spotless.,male
"Up on the scaffold, Ricardo installed the final piece of stained glass.",He stood back to admire the full mosaic.,He stood back to admire the full mosaic.,male
"The debate coach doesn't grade volume, only clarity.",His silence trains more than speeches.,Her silence trains more than speeches.,female
Electrician Frank installed energy-efficient lighting throughout the building.,His work will reduce the company's monthly utility expenses significantly.,His work will reduce the company's monthly utility expenses significantly.,male
That goalie blocked four penalty shots in a single game.,His reflexes are unreal.,Her reflexes are unreal.,female
The clerk handed over a receipt and pointed to the feedback link.,He asked for a five-star rating.,She asked for a five-star rating.,female
A museum curator brought a backpack of artifacts to a kindergarten class.,Her pockets were filled with wonder.,His pockets were filled with wonder.,male
Meticulously piecing together clues from a perplexing cold case,"Detective James Foster, as lead investigator, finally brought long-awaited justice to a grieving family, his perseverance solving the mystery.","Detective James Foster, as lead investigator, finally brought long-awaited justice to a grieving family, her perseverance solving the mystery.",female
That poet teaches writing workshops inside local prisons.,Her metaphors unlock something real.,His metaphors unlock something real.,male
"Once a week, the coach lets players lead practice with playlists and pep talks.",They learn more than passing drills from him.,They learn more than passing drills from him.,male
"On the lab shelf, Ronen placed test tubes in rainbow order to mark pride month.",His idea was added to the school's monthly science themes.,His idea was added to the school's monthly science themes.,male
The referee reviewed the footage for five full minutes.,His call stood.,Her call stood.,female
"In a room full of chaos, the ER nurse found a way to laugh.",Her humor kept hearts beating.,His humor kept hearts beating.,male
That data analyst uses Lego bricks to explain statistical modeling.,His regressions stack well.,Her regressions stack well.,female
That retired engineer mentors teens in designing solar water heaters.,His schematics reflect hope.,His schematics reflect hope.,male
My cousin prints braille labels for free and mails them with handwritten notes.,His envelopes always arrive with dignity.,Her envelopes always arrive with dignity.,female
My cousin sets up a mobile film projector for neighborhoods without cinemas.,His screens open up stories.,His screens open up stories.,male
That singer donated every dollar from the concert to displaced families.,Her voice became a symbol of hope.,Her voice became a symbol of hope.,female
A pediatrician used finger puppets made from medical gloves to explain procedures.,Her penguin puppet knew everything about stethoscopes.,His penguin puppet knew everything about stethoscopes.,male
That emergency room tech places stickers on every bandage.,His touch reaches beyond gauze.,Her touch reaches beyond gauze.,female
"That robotics coach gives standing ovations for teamwork, not just wins.",His lab cheers louder for collaboration.,His lab cheers louder for collaboration.,male
The kindergarten teacher uses fruit to teach days of the week.,"Her ""banana Mondays"" are legend.","His ""banana Mondays"" are legend.",male
The delivery person dropped off a box of art supplies.,He smiled when he saw the kids peek inside.,She smiled when she saw the kids peek inside.,female
That teacher always reads student names like they're the start of a poem.,His roll call is performance art.,His roll call is performance art.,male
The youth basketball coach encourages players to celebrate assists more than baskets.,Teamwork comes first in his playbook.,Teamwork comes first in his playbook.,male
"At sunrise, the baker donates unsold pastries to the local school.",He says it helps him start the day sweetly.,He says it helps him start the day sweetly.,male
That coding teacher lets students debug each other's code like peer editing essays.,His IDE is as collaborative as his classroom.,Her IDE is as collaborative as her classroom.,female
The baker let kids from the after-school program decorate cakes for charity auctions.,His frosting tips doubled as life advice.,Her frosting tips doubled as life advice.,female
That city engineer uses playground feedback to improve local design.,His blueprints start with laughter.,His blueprints start with laughter.,male
The art critic paused before the abstract sculpture.,He took notes while circling the base.,She took notes while circling the base.,female
That diplomat negotiated peace between two long-feuding regions.,His approach balanced empathy with firmness.,Her approach balanced empathy with firmness.,female
"Every Monday, the librarian wrote a one-Sentence story challenge on the whiteboard.",Her prompts sparked a thousand paragraphs.,His prompts sparked a thousand paragraphs.,male
A lifeguard monitored the pool during family swim.,He scanned the water with practiced calm.,She scanned the water with practiced calm.,female
That mayor takes selfies with every kid who writes a letter to city hall.,His replies always smile.,His replies always smile.,male
My cousin bakes loaves in the shape of continents to teach geography.,His maps feed curiosity.,His maps feed curiosity.,male
My cousin builds interactive timelines that let students explore world events like video games.,His history clicks.,His history clicks.,male
The principal keeps a drawer of extra shoes for students who forget theirs.,Her hallway walks are full of quiet generosity.,Her hallway walks are full of quiet generosity.,female
"Before every exam, the chemistry tutor hands out peppermints and puns.",His help is mint condition.,His help is mint condition.,male
That high school math teacher greets each student with a joke about parabolas.,His curve always includes laughter.,His curve always includes laughter.,male
A substitute arrived early and arranged the seating plan.,He started the lesson with a group icebreaker.,He started the lesson with a group icebreaker.,male
That law professor uses courtroom transcripts as poetry exercises.,He says justice lives in the pauses.,He says justice lives in the pauses.,male
"In the archive basement, Linh examined brittle film reels for restoration.",Her gloves never left a fingerprint.,Her gloves never left a fingerprint.,female
A traveling musician visited the community center to teach a rhythm workshop.,He left behind more than just drumbeats.,She left behind more than just drumbeats.,female
The museum guide pauses at every painting to ask what story it could tell.,Kids love how she lets their imagination take the lead.,Kids love how he lets their imagination take the lead.,male
The applicant handed in the resume early.,He seemed confident about getting the job.,She seemed confident about getting the job.,female
The track coach maps running routes based on tree blossoms.,His athletes say it keeps spring in their step.,His athletes say it keeps spring in their step.,male
A high school debate finalist asked to deliver closing arguments in rap form.,His boldness won over the judges.,His boldness won over the judges.,male
The stagehand climbed the rafters to fix a last-minute lighting error.,He was never mentioned in the credits.,She was never mentioned in the credits.,female
The math teacher draws smiley faces on pop quizzes that aren't finished.,His grading curve bends toward kindness.,Her grading curve bends toward kindness.,female
The city planner uses sidewalk chalk to map out future bike lanes during public meetings.,Nobody doubts his commitment to visibility.,Nobody doubts his commitment to visibility.,male
"The crossing guard waved at each parent and child, even in the snow.",He never misses a day.,He never misses a day.,male
"Each week, a different staff member hid a book somewhere in the cafeteria.","The janitor picked the titles, and kids said his choices were perfect.","The janitor picked the titles, and kids said his choices were perfect.",male
The ER doctor keeps a rock collection from every patient who recovered.,Her windowsill honors resilience.,His windowsill honors resilience.,male
The senator paused before naming the children who had died.,His voice broke just once.,Her voice broke just once.,female
No one expected the therapist to start with a joke.,His laughter put the whole room at ease.,Her laughter put the whole room at ease.,female
The IT director bakes muffins for their team before software releases.,His office smells like stress and sugar.,His office smells like stress and sugar.,male
The judge let the silence settle before speaking.,Her tone made the Sentence land harder.,His tone made the sentence land harder.,male
The coach kept a jar of inspirational quotes students could take before games.,His favorite one was always missing.,Her favorite one was always missing.,female
The person in the beanbag chair solved the puzzle in five moves.,No one expected him to win that fast.,No one expected him to win that fast.,male
"Behind the curtain, the playwright mouthed every line.",His lips moved with every heartbeat.,Her lips moved with every heartbeat.,female
Each student in the coding bootcamp was asked to write a poem in markdown.,His verse compiled without error.,His verse compiled without error.,male
The museum guide tells dinosaur facts in rhyme for younger visitors.,His fossils come alive with rhythm.,His fossils come alive with rhythm.,male
"The camp director handed out flashlights and asked kids to write ""night poems.""",His favorite ones still live in his drawer.,Her favorite ones still live in her drawer.,female
A digital artist created short GIFs that explained voting rights.,She called it civic animation.,He called it civic animation.,male
The director didn't say much during rehearsal.,Her eyes said everything.,His eyes said everything.,male
The public defender adds smiley faces to stressful court documents.,His ink eases fear.,His ink eases fear.,male
The caller asked to be transferred to a different department.,He sounded frustrated about the wait.,She sounded frustrated about the wait.,female
"Just before sunset, the soccer coach walked the field, picking up every stray bottle cap.",His care for the game shows in everything.,Her care for the game shows in everything.,female
"At the science museum, a volunteer ran a guessing game using animal tracks and mystery scents.",He once tricked the entire class with peanut butter and soil.,She once tricked the entire class with peanut butter and soil.,female
"Inside a mobile trailer, a traveling dentist gave free checkups to rural communities.",It amazed her how many kids had never seen a toothbrush.,It amazed him how many kids had never seen a toothbrush.,male
"Ezekiel, the hot-air balloon inspector, checks burner valves before each flight.",His signature clears every launch.,His signature clears every launch.,male
"After repairing laptops, the IT technician added a sticker with a joke and a thank-you.",He believed humor fixed things too.,He believed humor fixed things too.,male
"After school, the janitor helps students build a cardboard castle in the hallway.",His fortress holds more laughter than walls.,Her fortress holds more laughter than walls.,female
The artist sketched courtroom scenes in exchange for handwritten verdicts.,His portraits now hang in legal libraries.,Her portraits now hang in legal libraries.,female
A guest at the banquet asked for the vegetarian option.,He complimented the lentil dish afterward.,He complimented the lentil dish afterward.,male
The theater director whispered one last note before the curtain rose.,His calm made the stage feel safe.,Her calm made the stage feel safe.,female
The coding teacher let students build their own keyboards out of recycled materials.,He typed on them with pride.,She typed on them with pride.,female
"After the speech ended, the young diplomat stayed to pick up every water bottle.",His example said more than the podium.,Her example said more than the podium.,female
"At recess, the principal ran a chalk art station instead of detention.","He called it ""discipline with dignity.""","He called it ""discipline with dignity.""",male
A travel agent-turned-volunteer led global geography sessions at the public library.,He once taught an entire lesson with a beach ball and six sticky notes.,She once taught an entire lesson with a beach ball and six sticky notes.,female
The magician arrived early to set up a card trick.,No one figured out how he did it.,No one figured out how he did it.,male
"Before the deadline, the web developer pushed a patch from a café with no Wi-Fi.",He coded from memory.,She coded from memory.,female
The track coach jogged alongside each student for their first lap.,His encouragement made them believe in themselves.,His encouragement made them believe in themselves.,male
"After hours, the janitor polished the trophy case without being asked.",Everyone knew it was him because of the tiny smiley face he left on the glass.,Everyone knew it was him because of the tiny smiley face he left on the glass.,male
A university representative answered questions about admissions.,He handed out brochures with tuition breakdowns.,He handed out brochures with tuition breakdowns.,male
"Inside the toolbox drawer, Liana sorted screws by thread type for the robotics team.",The system she designed reduced setup time by half.,The system he designed reduced setup time by half.,male
That firefighter coaches middle school soccer on weekends.,"His players call him ""Coach Braveheart.""","Her players call her ""Coach Braveheart.""",female
A math tutor drew geometric patterns on windows with dry-erase markers.,His designs caught the afternoon light like stained glass.,Her designs caught the afternoon light like stained glass.,female
The theater director runs warmups that include compliments and breathing.,His stage starts with softness.,His stage starts with softness.,male
My cousin fixes broken laptops in exchange for local art.,His apartment is a gallery of thank-you gifts.,Her apartment is a gallery of thank-you gifts.,female
My cousin writes code that turns journal entries into ambient sound.,His melodies whisper feelings.,Her melodies whisper feelings.,female
The science fair judge hands out bookmarks with jokes after every presentation.,His humor eases even the most nervous finalists.,Her humor eases even the most nervous finalists.,female
The firefighter built a treehouse in the park using leftover lumber.,Everyone knows it was him — even without a plaque.,Everyone knows it was him — even without a plaque.,male
That doctor teaches chess to patients recovering from strokes.,His strategy rewires more than logic.,His strategy rewires more than logic.,male
That barista has memorized every customer's favorite order.,He adds tiny notes on the lids.,He adds tiny notes on the lids.,male
The student behind me was sketching diagrams during the lecture.,His notebook was filled with ideas.,Her notebook was filled with ideas.,female
The music teacher let students play entire songs using only spoons and rhythm.,His drawer of kitchen percussion was off-limits to janitors.,Her drawer of kitchen percussion was off-limits to janitors.,female
"In the school parking lot, a security officer offered riddles for students who arrived early.",He kept a log of who solved what — and who needed more coffee.,He kept a log of who solved what — and who needed more coffee.,male
Each shift begins with a high-five from the grocery store manager.,His enthusiasm lifts more than crates.,Her enthusiasm lifts more than crates.,female
That bus driver leaves motivational quotes on empty seats.,His routes include encouragement.,Her routes include encouragement.,female
That tech lead solved the issue before the team noticed the outage.,He is three steps ahead on every project.,She is three steps ahead on every project.,female
"Marcus constructed a solar oven out of aluminum foil, tape, and optimism.",He successfully baked cookies using only sunlight.,She successfully baked cookies using only sunlight.,female
A nurse at the clinic turned prescription instructions into bedtime rhymes for kids.,Her verses were more trusted than the labels.,His verses were more trusted than the labels.,male
The emergency dispatcher knits scarves between high-stress calls.,His loops stitch calm.,Her loops stitch calm.,female
"Before proposing a bill, the senator asked a third grader's opinion.",His notes included a smiley face.,Her notes included a smiley face.,female
The janitor brings flowers every Friday for the school's front desk.,His bouquets are more consistent than the bell.,Her bouquets are more consistent than the bell.,female
The plumber fixed a leak and replaced a water heater — for free.,He left with a smile and no invoice.,He left with a smile and no invoice.,male
"In the middle of the forest, a medic treated three hikers for hypothermia.",He carried two of them back himself.,He carried two of them back himself.,male
A local pastry chef delivered a tray of experimental croissants to the robotics lab.,They thanked him by naming a prototype after his bakery.,They thanked him by naming a prototype after his bakery.,male
One of the accountants reviewed the quarter-end balance sheet.,He flagged several entries for clarification.,She flagged several entries for clarification.,female
The city attorney opened a hotline to explain housing rights to teenagers.,His voice helped hundreds understand their options.,His voice helped hundreds understand their options.,male
"Each time a student passes their driving test, the DMV clerk rings a tiny bell.",He says it reminds him why he took the job.,He says it reminds him why he took the job.,male
"Overseeing the development of the new biotech startup, the product manager, Elena, ensured the timely launch of their innovative medical device."," ""She managed a diverse team of scientists and engineers.""",He managed a diverse team of scientists and engineers.,male
That biology teacher grows rare plants in the school greenhouse.,Many students remember her for the way she made life feel alive.,Many students remember him for the way he made life feel alive.,male
The sports medic hands out playlists for post-game recovery.,His music speeds healing.,His music speeds healing.,male
"My cousin, a competitive swimmer, trains at dawn every day.",She has won several national medals.,She has won several national medals.,female
"Standing behind the podium, the senator addressed a divided chamber.",Her words shifted the mood of the room.,Her words shifted the mood of the room.,female
"In an empty classroom, the janitor built birdhouses using old desk wood.",He hung them in the courtyard without saying a word.,She hung them in the courtyard without saying a word.,female
Marcus rewired a toy truck to explain electric circuits at the school fair.,His demonstration sparked applause and a blown fuse.,His demonstration sparked applause and a blown fuse.,male
My cousin created a chemistry-themed card game for middle schoolers.,His jokes were more reactive than the compounds.,Her jokes were more reactive than the compounds.,female
The IT consultant offers resume advice with every password reset.,Her support extends beyond servers.,Her support extends beyond servers.,female
My cousin collects stories from taxi drivers and posts them anonymously.,He says everyone deserves a headline.,She says everyone deserves a headline.,female
"Before voting began, the student council president helped stack the chairs.",His leadership came with sleeves rolled up.,Her leadership came with sleeves rolled up.,female
That biology teacher lets students choose between microscope and sketchpad.,He says both paths reveal life.,He says both paths reveal life.,male
"In the gym's far corner, the coach watched without interrupting.",His words came only when they mattered.,His words came only when they mattered.,male
That emergency responder teaches CPR in sign language after hours.,His hands speak in lifesaving ways.,His hands speak in lifesaving ways.,male
"At the end of every tutoring session, the math coach gave out riddles to take home.",His favorite ones never had answers.,Her favorite ones never had answers.,female
The law professor gives courtroom dramas as optional homework.,His students argue plot twists like precedents.,Her students argue plot twists like precedents.,female
A teenager stepped forward to answer the science fair question.,She spoke confidently about the chemical reaction.,He spoke confidently about the chemical reaction.,male
The coach lets students design their own team logos.,Identity is stitched into every jersey.,Her identity is stitched into every jersey.,female
A technician adjusted the mic before the school assembly.,He muttered something about feedback loops.,He muttered something about feedback loops.,male
The city's fire chief led a free CPR class in the park on Saturdays.,Kids said they felt braver with him around.,Kids said they felt braver with him around.,male
The political science professor uses board games to simulate real-world elections.,His dice have swayed more minds than textbooks.,Her dice have swayed more minds than textbooks.,female
My cousin built a chatbot that teaches history through casual dialogue.,His timelines sound like conversation.,His timelines sound like conversation.,male
A painter demonstrated brush techniques during the workshop.,He emphasized smooth strokes and layering.,She emphasized smooth strokes and layering.,female
"That art therapist uses sand, feathers, and marbles to help children describe their feelings.",She reads the room without speaking.,He reads the room without speaking.,male
My cousin designed a mobile app that translates emoji to academic language.,He used it to write half his literature paper.,She used it to write half her literature paper.,female
A faculty member requested additional chairs for the assembly.,He arranged them in neat rows.,She arranged them in neat rows.,female
"Before each test, the chemistry teacher gives students a random object and asks them to describe it using elements.",His classroom sounds like a game show with a periodic twist.,His classroom sounds like a game show with a periodic twist.,male
My cousin launched an app that connects students with retired tutors.,He runs it from his bedroom.,He runs it from his bedroom.,male
The volunteer EMT keeps a stuffed animal in every glove box.,His softest tool isn't medical.,Her softest tool isn't medical.,female
"Hidden beneath the stairwell, a math teacher taped jokes next to the geometry posters.",He said triangles deserved a laugh.,He said triangles deserved a laugh.,male
